agent_type,temperature_c,temperature_f,concentration_pct,flooding_factor_metric,flooding_factor_imperial,source
FK-5-1-12,4.444,40,7.0,1.113283,0.0695,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,10.0,50,7.0,1.089256,0.068,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,15.556,60,7.0,1.065228,0.0665,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,21.111,70,7.0,1.042802,0.0651,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,26.667,80,7.0,1.020376,0.0637,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,32.222,90,7.0,0.999552,0.0624,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,37.778,100,7.0,0.98033,0.0612,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,43.333,110,7.0,0.961108,0.06,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,48.889,120,7.0,0.943487,0.0589,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,54.444,130,7.0,0.925867,0.0578,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,60.0,140,7.0,0.908247,0.0567,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,65.556,150,7.0,0.892228,0.0557,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,71.111,160,7.0,0.87621,0.0547,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,76.667,170,7.0,0.860191,0.0537,calculo_supresion.xlsx tabla_temperatura
